policy_id,customer_id,agent_id,policy_type,sum_assured,premium_amount,premium_frequency,start_date,end_date,status
POL000131,CUST003955,AGT0027,Endowment,10000000,274047.35,Yearly,2024-05-17,2034-05-17,Active
POL000132,CUST003955,AGT0006,Whole Life,1000000,3539.29,Quarterly,2026-04-26,2036-04-26,Active
POL000133,CUST000589,AGT0044,Whole Life,500000,1874.22,Quarterly,2021-09-30,2041-09-30,Active
POL000134,CUST002057,AGT0055,ULIP,500000,13280.86,Yearly,2022-03-20,2052-03-20,Matured
POL000135,CUST001267,AGT0013,Whole Life,1500000,9061.9,Quarterly,2024-08-07,2039-08-07,Lapsed
POL000136,CUST001267,AGT0030,ULIP,1000000,3069.45,Monthly,2025-07-16,2045-07-16,Active
POL000137,CUST000002,AGT0008,Money Back,2000000,19592.08,Quarterly,2026-05-14,2041-05-14,Active
POL000138,CUST002348,,ULIP,1000000,31661.39,Yearly,2022-03-04,2037-03-04,Active
POL000139,CUST002348,AGT0027,Term,10000000,358650.69,Yearly,2025-05-22,2050-05-22,Active
POL000140,CUST002803,AGT0004,Money Back,500000,964.82,Monthly,2026-02-04,2056-02-04,Lapsed
POL000141,CUST002803,AGT0041,ULIP,2000000,21982.88,Half-Yearly,2024-09-02,2034-09-02,Matured
POL000142,CUST002803,AGT0053,Whole Life,2000000,2396.59,Monthly,2023-10-31,2033-10-31,Active
POL000143,CUST002876,AGT0059,Term,10000000,111933.96,Half-Yearly,2023-04-21,2038-04-21,Active
POL000144,CUST001922,AGT0030,Whole Life,1000000,1658.4,Monthly,2021-08-05,2041-08-05,Lapsed
POL000145,CUST003721,AGT0051,Whole Life,1000000,9429.38,Half-Yearly,2022-12-14,2042-12-14,Active
POL000146,CUST003721,AGT0010,Whole Life,10000000,139164.22,Half-Yearly,2023-12-09,2043-12-09,Lapsed
POL000147,CUST001763,AGT0046,Term,1000000,15707.05,Half-Yearly,2026-01-23,2046-01-23,Active
POL000148,CUST003404,AGT0009,ULIP,2000000,14633.24,Half-Yearly,2024-07-25,2049-07-25,Lapsed
POL000149,CUST000440,AGT0020,ULIP,2000000,5420.07,Quarterly,2021-11-06,2041-11-06,Active
POL000150,CUST003097,AGT0023,Term,1500000,36463.85,Yearly,2021-08-02,2041-08-02,Matured
POL000151,CUST001664,AGT0042,Money Back,5000000,53348.41,Half-Yearly,2023-04-30,2043-04-30,Matured
POL000152,CUST000907,AGT0005,Money Back,2000000,73828.02,Yearly,2026-04-09,2041-04-09,Active
POL000153,CUST002162,AGT0051,ULIP,1000000,4587.37,Quarterly,2023-04-04,2038-04-04,Lapsed
POL000154,CUST002760,AGT0001,Endowment,1500000,40623.36,Yearly,2023-08-02,2048-08-02,Active
POL000155,CUST001561,AGT0007,Money Back,1000000,14963.66,Half-Yearly,2021-09-06,2036-09-06,Active
POL000156,CUST001561,AGT0048,ULIP,5000000,66496.34,Half-Yearly,2022-06-29,2032-06-29,Active
POL000157,CUST003950,AGT0012,Term,500000,2167.6,Quarterly,2024-07-01,2049-07-01,Lapsed
POL000158,CUST002460,AGT0036,Endowment,1000000,2801.75,Quarterly,2025-06-15,2050-06-15,Active
POL000159,CUST000658,AGT0015,Endowment,10000000,64191.83,Quarterly,2023-09-01,2033-09-01,Active
POL000160,CUST000078,AGT0021,Money Back,2000000,4351.33,Monthly,2023-01-03,2048-01-03,Lapsed
POL000161,CUST000555,AGT0007,Term,1000000,1938.08,Monthly,2026-02-20,2051-02-20,Active
POL000162,CUST000555,AGT0028,Money Back,5000000,94994.14,Yearly,2022-03-03,2037-03-03,Active
POL000163,CUST003325,AGT0049,Term,10000000,69170.32,Quarterly,2025-03-10,2050-03-10,Active
POL000164,CUST003325,AGT0012,Whole Life,500000,14020.31,Yearly,2022-05-27,2042-05-27,Active
POL000165,CUST000353,AGT0022,Whole Life,5000000,44814.99,Half-Yearly,2022-12-02,2042-12-02,Active
POL000166,CUST000817,AGT0012,Money Back,5000000,66720.51,Yearly,2026-04-18,2046-04-18,Lapsed
POL000167,CUST002557,AGT0028,ULIP,5000000,74469.63,Yearly,2022-08-28,2047-08-28,Active
POL000168,CUST000467,AGT0015,Term,2000000,7903.93,Quarterly,2024-05-21,2044-05-21,Active
POL000169,CUST000344,AGT0040,Money Back,1500000,19631.27,Yearly,2025-02-07,2045-02-07,Active
POL000170,CUST001132,AGT0055,Endowment,-1500000,12371.97,Quarterly,2024-11-18,2039-11-18,Lapsed
POL000171,CUST003548,AGT0050,Endowment,1500000,44407.08,Yearly,2021-09-24,2051-09-24,Lapsed
POL000172,CUST002888,AGT0047,Endowment,1500000,15842.8,Half-Yearly,2022-11-10,2047-11-10,Active
POL000173,CUST002888,,ULIP,10000000,192405.07,Yearly,2023-01-06,2043-01-06,Active
POL000174,CUST002137,AGT0030,Whole Life,500000,7343.45,Half-Yearly,2024-07-30,2049-07-30,Active
POL000175,CUST000839,AGT0054,Term,10000000,74654.1,Quarterly,2022-03-15,2037-03-15,Active
POL000176,CUST000839,AGT0036,ULIP,500000,16863.8,Yearly,2025-09-07,2045-09-07,Active
POL000177,CUST001762,AGT0016,Endowment,5000000,178460.52,Yearly,2026-01-30,2056-01-30,Active
POL000178,CUST001762,AGT0050,Endowment,1500000,57842.04,Yearly,2026-04-08,2051-04-08,Matured
POL000179,CUST001118,AGT0022,Whole Life,1000000,11779.5,Yearly,2025-08-28,2045-08-28,Active
POL000180,CUST000232,AGT0005,ULIP,2000000,4025.87,Monthly,2023-05-15,2043-05-15,Matured
POL000181,CUST003524,AGT0029,Whole Life,1000000,13611.32,Half-Yearly,2024-12-13,2039-12-13,Active
POL000182,CUST002709,AGT0050,Money Back,5000000,76717.76,Half-Yearly,2021-12-14,2041-12-14,Active
POL000183,CUST001009,AGT0030,ULIP,1500000,5821.58,Quarterly,2025-05-06,2050-05-06,Active
POL000184,CUST002034,AGT0009,Endowment,10000000,140542.53,Half-Yearly,2021-07-17,2041-07-17,Matured
POL000185,CUST002027,AGT0004,Whole Life,2000000,67885.82,Yearly,2025-03-23,2050-03-23,Lapsed
POL000186,CUST001355,AGT0056,Money Back,1500000,59804.45,Yearly,2024-09-18,2034-09-18,Surrendered
POL000187,CUST001355,AGT0048,ULIP,5000000,68111.16,Half-Yearly,2024-01-01,2049-01-01,Active
POL000188,CUST002860,AGT0006,Term,5000000,42447.16,Quarterly,2023-12-12,2033-12-12,Lapsed
POL000189,CUST002125,AGT0018,Whole Life,5000000,13755.61,Monthly,2023-09-21,2038-09-21,Active
POL000190,CUST001871,AGT0030,Endowment,10000000,12875.18,Monthly,2023-06-26,2043-06-26,Active
POL000191,CUST002840,AGT0002,Whole Life,500000,2547.65,Half-Yearly,2025-04-23,2050-04-23,Lapsed
POL000192,CUST001384,AGT0050,ULIP,2000000,35667.24,Half-Yearly,2026-01-19,2041-01-19,Active
POL000193,CUST003833,,Whole Life,10000000,183986.53,Half-Yearly,2022-12-22,2037-12-22,Lapsed
POL000194,CUST002266,AGT0055,Endowment,1000000,3256.72,Quarterly,2024-10-26,2044-10-26,Active
POL000195,CUST000760,AGT0015,Endowment,5000000,8259.93,Monthly,2023-09-24,2043-09-24,Active
POL000196,CUST003795,AGT0059,Endowment,1500000,59595.16,Yearly,2023-05-14,2038-05-14,Active
POL000197,CUST001207,AGT0002,ULIP,500000,6846.65,Yearly,2023-01-28,2038-01-28,Matured
POL000198,CUST003651,AGT0050,Endowment,2000000,46312.81,Yearly,2023-07-18,2033-07-18,Active
POL000199,CUST003466,AGT0032,Term,500000,620.27,Monthly,2021-10-26,2036-10-26,Active
POL000200,CUST003648,AGT0052,ULIP,10000000,157294.34,Yearly,2025-05-22,2045-05-22,Surrendered
POL000201,CUST003648,AGT0002,Money Back,1500000,18946.54,Half-Yearly,2025-02-18,2050-02-18,Matured
POL000202,CUST001127,AGT0005,Whole Life,2000000,20811.77,Half-Yearly,2023-01-15,2033-01-15,Active
POL000203,CUST001918,AGT0018,ULIP,1000000,36278.25,Yearly,2026-03-09,2036-03-09,Active
POL000204,CUST001402,AGT0034,ULIP,500000,1915.09,Quarterly,2025-12-03,2040-12-03,Active
POL000205,CUST001402,AGT0056,Endowment,1000000,986.29,Monthly,2023-04-09,2048-04-09,Lapsed
POL000206,CUST001432,AGT0012,ULIP,1500000,52046.28,Yearly,2025-09-22,2055-09-22,Active
POL000207,CUST001432,AGT0011,Money Back,-1000000,18186.16,Half-Yearly,2021-10-03,2036-10-03,Active
POL000208,CUST000507,AGT0021,Endowment,1500000,27952.07,Half-Yearly,2025-08-26,2050-08-26,Active
POL000209,CUST002703,AGT0059,Term,1500000,16540.02,Yearly,2023-05-22,2033-05-22,Matured
POL000210,CUST002179,AGT0058,Money Back,2000000,7372.59,Quarterly,2024-04-08,2054-04-08,Active
POL000211,CUST001572,AGT0058,Whole Life,500000,11966.5,Yearly,2026-04-18,2036-04-18,Active
POL000212,CUST003073,AGT0017,Endowment,5000000,60718.26,Half-Yearly,2022-12-02,2032-12-02,Matured
POL000213,CUST002755,AGT0055,Money Back,1500000,3041.71,Monthly,2024-10-15,2054-10-15,Lapsed
POL000214,CUST000809,AGT0043,Endowment,1000000,8540.86,Quarterly,2022-10-27,2052-10-27,Active
POL000215,CUST002402,AGT0015,Term,10000000,183037.69,Half-Yearly,2022-09-30,2047-09-30,Active
POL000216,CUST000322,AGT0028,ULIP,1500000,24597.61,Half-Yearly,2024-12-08,2049-12-08,Active
POL000217,CUST002031,AGT0012,Endowment,5000000,144782.03,Yearly,2025-07-22,2035-07-22,Lapsed
POL000218,CUST003059,AGT0031,Term,1000000,19675.97,Yearly,2022-04-04,2037-04-04,Active
POL000219,CUST000058,AGT0040,Endowment,10000000,235631.23,Yearly,2025-03-17,2055-03-17,Active
POL000220,CUST000058,AGT0033,ULIP,5000000,13478.67,Monthly,2025-08-22,2050-08-22,Lapsed
POL000221,CUST001884,AGT0036,ULIP,1000000,17104.83,Half-Yearly,2025-09-18,2045-09-18,Active
POL000222,CUST001884,AGT0051,Whole Life,10000000,164490.4,Half-Yearly,2024-08-12,2034-08-12,Active
POL000223,CUST002562,AGT0008,Term,5000000,7005.73,Monthly,2024-02-03,2039-02-03,Active
POL000224,CUST002423,AGT0006,ULIP,1000000,11788.47,Half-Yearly,2023-03-28,2043-03-28,Active
POL000225,CUST002430,AGT0050,Money Back,1000000,3562.81,Quarterly,2021-09-04,2046-09-04,Lapsed
POL000226,CUST002430,AGT0004,Term,1000000,6721.62,Quarterly,2022-07-04,2042-07-04,Active
POL000227,CUST002430,AGT0011,Money Back,1500000,11554.07,Quarterly,2026-02-15,2056-02-15,Surrendered
POL000228,CUST003871,AGT0010,Term,10000000,88242.91,Quarterly,2023-02-07,2038-02-07,Lapsed
POL000229,CUST002421,AGT0026,Money Back,2000000,11467.37,Half-Yearly,2023-06-24,2038-06-24,Surrendered
POL000230,CUST001506,AGT0020,Money Back,2000000,39315.28,Yearly,2023-04-22,2048-04-22,Lapsed
POL000231,CUST001313,AGT0039,ULIP,10000000,81313.22,Half-Yearly,2025-02-25,2055-02-25,Lapsed
POL000232,CUST001516,AGT0052,Term,2000000,12213.98,Quarterly,2025-04-18,2040-04-18,Active
POL000233,CUST001516,AGT0054,Endowment,2000000,43459.98,Yearly,2023-07-06,2038-07-06,Active
POL000234,CUST001516,AGT0047,ULIP,500000,3553.3,Half-Yearly,2023-02-26,2038-02-26,Active
POL000235,CUST001847,AGT0001,Endowment,1000000,7541.79,Quarterly,2022-03-23,2047-03-23,Lapsed
POL000236,CUST001847,AGT0015,Term,5000000,13812.39,Monthly,2021-12-25,2041-12-25,Active
POL000237,CUST002183,AGT0049,ULIP,500000,7305.15,Yearly,2023-03-26,2053-03-26,Matured
POL000238,CUST000391,AGT0041,ULIP,1500000,52708.99,Yearly,2024-10-11,2034-10-11,Active
POL000239,CUST000391,AGT0051,Whole Life,2000000,18143.63,Quarterly,2023-09-11,2053-09-11,Lapsed
POL000240,CUST003559,AGT0039,ULIP,1000000,1054.77,Monthly,2023-09-16,2053-09-16,Lapsed
POL000241,CUST002924,AGT0056,Endowment,10000000,226502.24,Yearly,2022-04-11,2047-04-11,Active
POL000242,CUST002924,AGT0043,ULIP,10000000,146039.81,Half-Yearly,2025-09-21,2045-09-21,Active
POL000243,CUST003728,AGT0038,ULIP,500000,1308.04,Monthly,2024-01-04,2034-01-04,Active
POL000244,CUST003728,AGT0050,Whole Life,1000000,29968.85,Yearly,2024-11-11,2054-11-11,Active
POL000245,CUST003783,AGT0043,Whole Life,5000000,140994.17,Yearly,2021-08-04,2051-08-04,Matured
POL000246,CUST003783,AGT0007,Whole Life,500000,1154.6,Monthly,2023-12-23,2053-12-23,Lapsed
POL000247,CUST003216,AGT0003,Term,1000000,34458.51,Yearly,2025-12-31,2045-12-31,Lapsed
POL000248,CUST000345,AGT0041,Whole Life,2000000,6367.65,Monthly,2025-05-07,2055-05-07,Lapsed
POL000249,CUST000234,AGT0022,Whole Life,10000000,67519.75,Quarterly,2024-12-11,2034-12-11,Active
POL000250,CUST000234,AGT0017,Term,1500000,3983.97,Monthly,2025-12-21,2050-12-21,Lapsed
POL000251,CUST001816,AGT0030,ULIP,1500000,17535.16,Half-Yearly,2024-04-01,2039-04-01,Active
POL000252,CUST001086,AGT0050,ULIP,1000000,16110.57,Half-Yearly,2022-10-25,2037-10-25,Lapsed
POL000253,CUST001288,AGT0054,Whole Life,500000,7123.02,Half-Yearly,2024-07-30,2044-07-30,Lapsed
POL000254,CUST001288,AGT0026,Endowment,1500000,4678.14,Monthly,2025-11-27,2045-11-27,Active
POL000255,CUST003456,AGT0032,Whole Life,10000000,160644.74,Yearly,2023-08-06,2038-08-06,Matured
