payment_id,policy_id,payment_date,amount_paid,late_fee,payment_mode
PAY0000067,POL000014,2024-02-02,17421.89,0.0,UPI
PAY0000068,POL000014,2024-08-09,17421.89,0.0,AutoDebit
PAY0000069,POL000014,2025-02-04,17421.89,0.0,AutoDebit
PAY0000070,POL000014,2025-08-03,17421.89,0.0,UPI
PAY0000071,POL000014,2026-02-04,17421.89,0.0,Cheque
PAY0000072,POL000015,2024-10-12,23181.79,0.0,AutoDebit
PAY0000073,POL000015,2025-04-15,23181.79,463.64,AutoDebit
PAY0000074,POL000015,2025-10-14,23181.79,0.0,AutoDebit
PAY0000075,POL000015,2026-04-20,23181.79,0.0,Card
PAY0000076,POL000016,2022-06-23,13586.1,0.0,UPI
PAY0000077,POL000016,2022-09-24,13586.1,271.72,AutoDebit
PAY0000078,POL000016,2022-12-22,13586.1,0.0,Cheque
PAY0000079,POL000016,2023-03-24,13586.1,271.72,Cheque
PAY0000080,POL000016,2023-06-30,13586.1,0.0,Cheque
PAY0000081,POL000016,2023-09-29,13586.1,0.0,NetBanking
PAY0000082,POL000016,2024-01-01,13586.1,0.0,Card
PAY0000083,POL000016,2024-04-09,13586.1,0.0,UPI
PAY0000084,POL000016,2024-07-08,13586.1,0.0,UPI
PAY0000085,POL000016,2024-10-14,13586.1,0.0,AutoDebit
PAY0000086,POL000016,2025-01-15,13586.1,0.0,Card
PAY0000087,POL000016,2025-04-17,13586.1,0.0,Cheque
PAY0000088,POL000016,2025-07-17,13586.1,0.0,UPI
PAY0000089,POL000016,2025-10-21,13586.1,0.0,Card
PAY0000090,POL000016,2026-01-21,13586.1,0.0,UPI
PAY0000091,POL000016,2026-04-18,13586.1,0.0,Card
PAY0000092,POL000017,2025-12-21,4462.04,0.0,NetBanking
PAY0000093,POL000017,2026-06-27,4462.04,0.0,Cheque
PAY0000094,POL000018,2026-03-23,3008.25,0.0,NetBanking
PAY0000095,POL000018,2026-04-29,3008.25,0.0,NetBanking
PAY0000096,POL000018,2026-05-28,3008.25,0.0,Card
PAY0000097,POL000018,2026-07-01,3008.25,0.0,NetBanking
PAY0000098,POL000019,2022-11-27,24958.95,0.0,UPI
PAY0000099,POL000019,2023-12-01,-24958.95,0.0,Cheque
PAY0000100,POL000019,2024-12-10,24958.95,499.18,Cheque
PAY0000101,POL000019,2025-12-19,24958.95,0.0,Card
PAY0000102,POL000020,2022-10-30,34691.15,0.0,UPI
PAY0000103,POL000020,2023-05-08,34691.15,0.0,AutoDebit
PAY0000104,POL000020,2023-11-03,34691.15,0.0,Card
PAY0000105,POL000021,2023-10-29,8251.32,0.0,UPI
PAY0000106,POL000021,2024-05-08,8251.32,165.03,AutoDebit
PAY0000107,POL000021,2024-11-12,8251.32,0.0,AutoDebit
PAY0000108,POL000021,2025-05-12,8251.32,0.0,NetBanking
PAY0000109,POL000021,2025-11-19,8251.32,0.0,AutoDebit
PAY0000110,POL000021,2026-05-19,8251.32,0.0,Cheque
PAY0000111,POL000022,2025-07-18,14833.69,0.0,UPI
PAY0000112,POL000022,2025-10-26,14833.69,0.0,AutoDebit
PAY0000113,POL000022,2026-01-27,14833.69,0.0,AutoDebit
PAY0000114,POL000022,2026-05-05,14833.69,0.0,NetBanking
PAY0000115,POL000023,2026-04-11,14958.8,0.0,Card
PAY0000116,POL000024,2025-12-18,1360.57,0.0,Card
PAY0000117,POL000024,2026-01-16,1360.57,0.0,Cheque
PAY0000118,POL000024,2026-02-16,1360.57,0.0,Card
PAY0000119,POL000024,2026-03-23,1360.57,0.0,Cheque
PAY0000120,POL000024,2026-04-27,1360.57,0.0,Card
PAY0000121,POL000024,2026-06-03,1360.57,0.0,AutoDebit
PAY0000122,POL000025,2025-11-23,4761.0,0.0,Cheque
PAY0000123,POL000025,2026-06-03,4761.0,0.0,Cheque
PAY0000124,POL000026,2025-12-13,44487.42,0.0,Cheque
PAY0000125,POL000027,2023-05-03,5302.31,0.0,Cheque
PAY0000126,POL000027,2024-05-01,5302.31,0.0,AutoDebit
PAY0000127,POL000027,2025-05-05,5302.31,106.05,Card
PAY0000128,POL000027,2026-05-02,5302.31,0.0,Cheque
PAY0000129,POL000028,2025-01-24,15828.52,0.0,UPI
PAY0000130,POL000028,2026-02-02,15828.52,0.0,Cheque
PAY0000131,POL000029,2026-05-13,45553.73,0.0,NetBanking
PAY0000132,POL000030,2026-01-27,22886.04,0.0,AutoDebit
PAY0000133,POL000031,2025-08-26,8052.09,0.0,Cheque
PAY0000134,POL000031,2025-12-04,8052.09,0.0,NetBanking
PAY0000135,POL000031,2026-03-01,8052.09,0.0,Card
PAY0000136,POL000031,2026-06-08,8052.09,0.0,Card
PAY0000137,POL000033,2022-06-23,3660.57,0.0,UPI
PAY0000138,POL000033,2022-07-24,3660.57,73.21,NetBanking
PAY0000139,POL000033,2022-08-31,3660.57,0.0,Card
PAY0000140,POL000033,2022-10-02,3660.57,0.0,Cheque
PAY0000141,POL000033,2022-11-08,3660.57,0.0,Card
PAY0000142,POL000033,2022-12-16,3660.57,0.0,Card
PAY0000143,POL000034,2024-12-01,2028.81,0.0,Card
PAY0000144,POL000034,2025-03-08,2028.81,0.0,Cheque
PAY0000145,POL000034,2025-06-16,2028.81,0.0,NetBanking
PAY0000146,POL000035,2024-12-13,51404.34,0.0,UPI
PAY0000147,POL000035,2025-12-19,51404.34,0.0,NetBanking
PAY0000148,POL000036,2023-01-07,24161.5,0.0,Card
PAY0000149,POL000036,2023-07-16,24161.5,0.0,Card
PAY0000150,POL000036,2024-01-16,24161.5,0.0,NetBanking
PAY0000151,POL000036,2024-07-22,24161.5,0.0,AutoDebit
PAY0000152,POL000036,2025-01-30,24161.5,0.0,UPI
PAY0000153,POL000036,2025-07-28,24161.5,0.0,UPI
PAY0000154,POL000036,2026-02-01,24161.5,0.0,UPI
PAY0000155,POL000038,2024-10-19,9827.57,0.0,UPI
PAY0000156,POL000038,2025-01-15,9827.57,0.0,AutoDebit
PAY0000157,POL000038,2025-04-25,9827.57,0.0,NetBanking
PAY0000158,POL000038,2025-07-29,9827.57,0.0,Card
PAY0000159,POL000038,2025-11-01,9827.57,0.0,AutoDebit
PAY0000160,POL000039,2025-11-27,18975.88,0.0,Card
PAY0000161,POL000039,2025-12-29,18975.88,0.0,Cheque
PAY0000162,POL000039,2026-02-01,18975.88,0.0,UPI
PAY0000163,POL000039,2026-03-11,18975.88,0.0,UPI
PAY0000164,POL000039,2026-04-20,18975.88,0.0,AutoDebit
PAY0000165,POL000039,2026-05-23,18975.88,0.0,Cheque
PAY0000166,POL000039,2026-06-20,18975.88,0.0,Card
PAY0000167,POL000040,2023-05-10,19901.29,398.03,Cheque
PAY0000168,POL000040,2023-08-05,19901.29,0.0,Cheque
PAY0000169,POL000040,2023-11-07,19901.29,0.0,UPI
PAY0000170,POL000040,2024-02-02,19901.29,0.0,AutoDebit
PAY0000171,POL000040,2024-05-04,19901.29,0.0,NetBanking
PAY0000172,POL000040,2024-07-30,19901.29,0.0,Cheque
PAY0000173,POL000040,2024-10-29,19901.29,0.0,Card
PAY0000174,POL000040,2025-02-04,19901.29,0.0,UPI
PAY0000175,POL000040,2025-05-07,19901.29,0.0,UPI
PAY0000176,POL000040,2025-08-06,19901.29,0.0,Cheque
PAY0000177,POL000040,2025-11-04,19901.29,0.0,Cheque
PAY0000178,POL000040,2026-02-09,19901.29,0.0,UPI
PAY0000179,POL000040,2026-05-14,19901.29,0.0,Card
PAY0000180,POL000041,2025-10-08,14392.47,0.0,NetBanking
PAY0000181,POL000041,2026-01-11,14392.47,0.0,UPI
PAY0000182,POL000041,2026-04-16,14392.47,0.0,UPI
PAY0000183,POL000042,2023-01-13,3150.42,0.0,NetBanking
PAY0000184,POL000042,2023-02-19,3150.42,0.0,NetBanking
PAY0000185,POL000042,2023-03-21,3150.42,0.0,AutoDebit
PAY0000186,POL000042,2023-04-26,3150.42,0.0,Card
PAY0000187,POL000042,2023-05-25,3150.42,0.0,AutoDebit
PAY0000188,POL000042,2023-06-25,3150.42,0.0,AutoDebit
PAY0000189,POL000042,2023-07-23,3150.42,63.01,UPI
PAY0000190,POL000042,2023-08-26,3150.42,0.0,NetBanking
PAY0000191,POL000042,2023-09-30,3150.42,0.0,UPI
PAY0000192,POL000042,2023-11-02,3150.42,0.0,AutoDebit
PAY0000193,POL000042,2023-12-07,3150.42,0.0,UPI
PAY0000194,POL000042,2024-01-12,3150.42,0.0,NetBanking
PAY0000195,POL000042,2024-02-19,3150.42,0.0,NetBanking
PAY0000196,POL000042,2024-03-19,3150.42,0.0,AutoDebit
PAY0000197,POL000042,2024-04-28,3150.42,0.0,Cheque
PAY0000198,POL000042,2024-05-27,3150.42,0.0,NetBanking
PAY0000199,POL000042,2024-07-01,3150.42,0.0,Card
PAY0000200,POL000042,2024-08-08,3150.42,0.0,AutoDebit
PAY0000201,POL000042,2024-09-05,3150.42,0.0,Cheque
PAY0000202,POL000042,2024-10-14,3150.42,63.01,Cheque
PAY0000203,POL000043,2026-06-27,67285.78,0.0,Card
PAY0000204,POL000044,2025-12-09,60408.25,0.0,Card
PAY0000205,POL000044,2026-06-16,60408.25,0.0,Card
PAY0000206,POL000045,2025-05-09,10294.64,0.0,AutoDebit
PAY0000207,POL000045,2026-05-08,10294.64,0.0,AutoDebit
PAY0000208,POL000046,2021-12-30,7760.98,0.0,NetBanking
PAY0000209,POL000046,2022-07-09,7760.98,0.0,AutoDebit
PAY0000210,POL000046,2023-01-16,7760.98,0.0,NetBanking
PAY0000211,POL000046,2023-07-21,7760.98,0.0,Card
PAY0000212,POL000046,2024-01-16,7760.98,0.0,AutoDebit
PAY0000213,POL000046,2024-07-13,7760.98,0.0,Card
PAY0000214,POL000046,2025-01-15,7760.98,0.0,Cheque
PAY0000215,POL000046,2025-07-24,7760.98,0.0,NetBanking
PAY0000216,POL000046,2026-01-22,7760.98,0.0,AutoDebit
PAY0000217,POL000047,2025-08-04,13916.82,0.0,UPI
PAY0000218,POL000048,2022-01-08,6839.03,0.0,NetBanking
PAY0000219,POL000048,2022-04-10,6839.03,0.0,AutoDebit
PAY0000220,POL000048,2022-07-17,6839.03,0.0,UPI
PAY0000221,POL000048,2022-10-20,6839.03,0.0,Card
PAY0000222,POL000048,2023-01-21,6839.03,136.78,AutoDebit
PAY0000223,POL000048,2023-04-24,6839.03,136.78,UPI
PAY0000224,POL000048,2023-07-20,6839.03,0.0,UPI
PAY0000225,POL000048,2023-10-23,6839.03,0.0,AutoDebit
PAY0000226,POL000049,2025-10-02,57043.86,0.0,NetBanking
PAY0000227,POL000050,2022-06-22,13299.89,0.0,UPI
PAY0000228,POL000050,2022-07-29,13299.89,0.0,Card
PAY0000229,POL000050,2022-08-28,13299.89,0.0,UPI
PAY0000230,POL000050,2022-10-03,13299.89,0.0,AutoDebit
PAY0000231,POL000050,2022-11-10,13299.89,0.0,AutoDebit
PAY0000232,POL000050,2022-12-12,13299.89,0.0,NetBanking
PAY0000233,POL000050,2023-01-09,13299.89,0.0,NetBanking
PAY0000234,POL000050,2023-02-09,13299.89,0.0,Cheque
PAY0000235,POL000050,2023-03-19,13299.89,0.0,Cheque
PAY0000236,POL000050,2023-04-24,13299.89,0.0,AutoDebit
PAY0000237,POL000050,2023-05-22,13299.89,0.0,Cheque
PAY0000238,POL000050,2023-06-27,13299.89,0.0,Cheque
PAY0000239,POL000050,2023-07-28,13299.89,0.0,Cheque
PAY0000240,POL000050,2023-09-02,13299.89,0.0,UPI
PAY0000241,POL000050,2023-10-03,13299.89,0.0,UPI
PAY0000242,POL000050,2023-11-09,13299.89,0.0,NetBanking
PAY0000243,POL000050,2023-12-10,13299.89,0.0,Card
PAY0000244,POL000050,2024-01-16,13299.89,0.0,NetBanking
PAY0000245,POL000050,2024-02-17,13299.89,0.0,UPI
PAY0000246,POL000050,2024-03-19,13299.89,266.0,Cheque
PAY0000247,POL000050,2024-04-19,13299.89,0.0,UPI
PAY0000248,POL000050,2024-05-29,13299.89,0.0,Card
PAY0000249,POL000050,2024-06-29,13299.89,0.0,UPI
PAY0000250,POL000050,2024-07-31,13299.89,0.0,UPI
PAY0000251,POL000051,2025-12-07,99524.03,0.0,Card
PAY0000252,POL000052,2025-04-01,37607.45,0.0,Cheque
PAY0000253,POL000052,2025-07-05,37607.45,0.0,UPI
PAY0000254,POL000052,2025-10-05,37607.45,0.0,NetBanking
PAY0000255,POL000052,2026-01-09,37607.45,0.0,AutoDebit
PAY0000256,POL000052,2026-04-10,37607.45,0.0,AutoDebit
PAY0000257,POL000053,2021-12-25,6065.98,121.32,AutoDebit
PAY0000258,POL000053,2022-03-31,6065.98,0.0,NetBanking
PAY0000259,POL000053,2022-07-02,6065.98,0.0,Cheque
PAY0000260,POL000053,2022-10-04,6065.98,0.0,Card
PAY0000261,POL000053,2023-01-02,6065.98,0.0,Cheque
PAY0000262,POL000053,2023-04-06,6065.98,0.0,UPI
PAY0000263,POL000053,2023-07-04,6065.98,0.0,UPI
PAY0000264,POL000053,2023-10-04,6065.98,0.0,Card
PAY0000265,POL000053,2024-01-01,6065.98,0.0,Card
PAY0000266,POL000053,2024-04-02,6065.98,0.0,NetBanking
PAY0000267,POL000053,2024-07-11,6065.98,0.0,Cheque
PAY0000268,POL000053,2024-10-10,6065.98,0.0,NetBanking
PAY0000269,POL000053,2025-01-12,6065.98,0.0,AutoDebit
PAY0000270,POL000053,2025-04-22,6065.98,0.0,UPI
PAY0000271,POL000053,2025-07-18,6065.98,0.0,UPI
PAY0000272,POL000053,2025-10-14,6065.98,0.0,Cheque
PAY0000273,POL000053,2026-01-12,6065.98,121.32,UPI
PAY0000274,POL000053,2026-04-19,6065.98,0.0,NetBanking
PAY0000275,POL000054,2025-08-04,22762.17,0.0,Cheque
PAY0000276,POL000055,2026-04-04,10659.64,0.0,Cheque
PAY0000277,POL000056,2024-05-11,4562.32,0.0,Card
PAY0000278,POL000056,2024-06-07,4562.32,0.0,Cheque
PAY0000279,POL000056,2024-07-12,4562.32,0.0,AutoDebit
PAY0000280,POL000056,2024-08-15,4562.32,0.0,Card
PAY0000281,POL000056,2024-09-19,4562.32,0.0,AutoDebit
PAY0000282,POL000056,2024-10-19,4562.32,0.0,AutoDebit
PAY0000283,POL000056,2024-11-23,4562.32,0.0,Cheque
PAY0000284,POL000056,2025-01-01,4562.32,0.0,Card
PAY0000285,POL000056,2025-02-08,4562.32,0.0,NetBanking
PAY0000286,POL000057,2024-12-04,268145.76,0.0,Cheque
PAY0000287,POL000057,2025-12-12,268145.76,0.0,Cheque
PAY0000288,POL000058,2025-06-05,295627.64,0.0,Cheque
PAY0000289,POL000058,2026-06-03,295627.64,0.0,Cheque
PAY0000290,POL000059,2025-05-01,164133.99,0.0,UPI
PAY0000291,POL000059,2026-05-09,164133.99,0.0,Cheque
PAY0000292,POL000060,2026-06-12,1984.39,0.0,UPI
PAY0000293,POL000061,2022-03-17,32058.14,0.0,Card
PAY0000294,POL000061,2022-09-24,32058.14,0.0,Card
PAY0000295,POL000061,2023-03-26,32058.14,0.0,Cheque
PAY0000296,POL000061,2023-10-02,32058.14,0.0,NetBanking
PAY0000297,POL000061,2024-04-05,32058.14,0.0,AutoDebit
PAY0000298,POL000061,2024-10-05,32058.14,0.0,NetBanking
PAY0000299,POL000061,2025-04-15,32058.14,0.0,Cheque
PAY0000300,POL000061,2025-10-14,32058.14,0.0,AutoDebit
PAY0000301,POL000061,2026-04-15,32058.14,0.0,AutoDebit
PAY0000302,POL000062,2026-05-02,12256.89,0.0,NetBanking
PAY0000303,POL000062,2026-05-30,12256.89,0.0,UPI
PAY0000304,POL000062,2026-07-02,12256.89,0.0,AutoDebit
PAY0000305,POL000063,2024-01-07,4486.94,0.0,NetBanking
PAY0000306,POL000063,2024-02-13,4486.94,0.0,UPI
PAY0000307,POL000063,2024-03-13,4486.94,0.0,Card
PAY0000308,POL000063,2024-04-17,4486.94,0.0,AutoDebit
PAY0000309,POL000063,2024-05-25,4486.94,0.0,NetBanking
PAY0000310,POL000063,2024-06-22,4486.94,89.74,AutoDebit
PAY0000311,POL000063,2024-07-21,4486.94,0.0,Card
PAY0000312,POL000063,2024-08-29,4486.94,0.0,Cheque
PAY0000313,POL000063,2024-10-01,4486.94,0.0,Cheque
PAY0000314,POL000063,2024-10-28,4486.94,0.0,AutoDebit
PAY0000315,POL000063,2024-11-25,4486.94,0.0,Cheque
PAY0000316,POL000063,2025-01-04,4486.94,0.0,AutoDebit
PAY0000317,POL000063,2025-02-02,4486.94,0.0,Card
PAY0000318,POL000063,2025-03-10,4486.94,0.0,Card
PAY0000319,POL000063,2025-04-06,4486.94,0.0,UPI
PAY0000320,POL000063,2025-05-12,4486.94,0.0,NetBanking
PAY0000321,POL000063,2025-06-21,4486.94,0.0,Cheque
PAY0000322,POL000063,2025-07-19,4486.94,0.0,Cheque
PAY0000323,POL000063,2025-08-23,4486.94,0.0,Cheque
PAY0000324,POL000063,2025-09-25,4486.94,0.0,UPI
PAY0000325,POL000063,2025-10-22,4486.94,0.0,NetBanking
PAY0000326,POL000063,2025-11-18,4486.94,0.0,NetBanking
PAY0000327,POL000063,2025-12-19,4486.94,0.0,NetBanking
PAY0000328,POL000064,2024-07-26,928.82,18.58,UPI
PAY0000329,POL000064,2024-09-01,928.82,0.0,AutoDebit
PAY0000330,POL000064,2024-10-04,928.82,0.0,AutoDebit
PAY0000331,POL000064,2024-11-07,928.82,18.58,Card
PAY0000332,POL000064,2024-12-04,928.82,0.0,NetBanking
PAY0000333,POL000064,2025-01-13,928.82,0.0,UPI
PAY0000334,POL000064,2025-02-14,928.82,0.0,UPI
PAY0000335,POL000064,2025-03-16,928.82,0.0,Cheque
PAY0000336,POL000064,2025-04-19,928.82,0.0,AutoDebit
PAY0000337,POL000064,2025-05-29,928.82,0.0,UPI
PAY0000338,POL000064,2025-07-08,928.82,0.0,NetBanking
PAY0000339,POL000064,2025-08-12,928.82,0.0,Card
PAY0000340,POL000064,2025-09-13,928.82,18.58,Cheque
PAY0000341,POL000064,2025-10-16,928.82,0.0,AutoDebit
PAY0000342,POL000064,2025-11-14,928.82,0.0,NetBanking
PAY0000343,POL000064,2025-12-23,928.82,0.0,NetBanking
PAY0000344,POL000064,2026-01-22,928.82,0.0,UPI
PAY0000345,POL000065,2026-03-04,35021.93,0.0,Card
PAY0000346,POL000066,2022-01-22,29626.58,0.0,Cheque
PAY0000347,POL000066,2022-07-31,29626.58,0.0,AutoDebit
PAY0000348,POL000066,2023-02-06,29626.58,592.53,NetBanking
PAY0000349,POL000066,2023-08-10,29626.58,0.0,AutoDebit
PAY0000350,POL000066,2024-02-05,29626.58,592.53,Card
PAY0000351,POL000066,2024-08-14,29626.58,0.0,UPI
PAY0000352,POL000066,2025-02-17,29626.58,0.0,AutoDebit
PAY0000353,POL000067,2025-05-02,92929.36,0.0,AutoDebit
PAY0000354,POL000067,2025-08-02,92929.36,0.0,Card
PAY0000355,POL000067,2025-11-09,92929.36,0.0,UPI
PAY0000356,POL000067,2026-02-17,92929.36,0.0,Card
PAY0000357,POL000067,2026-05-18,92929.36,0.0,NetBanking
PAY0000358,POL000068,2024-01-10,17565.75,0.0,Card
PAY0000359,POL000068,2025-01-19,17565.75,0.0,NetBanking
PAY0000360,POL000068,2026-01-21,17565.75,0.0,AutoDebit
PAY0000361,POL000069,2022-10-14,1264.8,0.0,AutoDebit
PAY0000362,POL000069,2022-11-14,1264.8,0.0,UPI
PAY0000363,POL000069,2022-12-24,1264.8,0.0,UPI
PAY0000364,POL000069,2023-01-22,1264.8,0.0,AutoDebit
PAY0000365,POL000069,2023-03-01,1264.8,0.0,UPI
PAY0000366,POL000069,2023-04-04,1264.8,0.0,Card
PAY0000367,POL000069,2023-05-10,1264.8,0.0,NetBanking
PAY0000368,POL000069,2023-06-11,1264.8,0.0,Card
PAY0000369,POL000069,2023-07-20,1264.8,0.0,AutoDebit
PAY0000370,POL000069,2023-08-28,1264.8,0.0,AutoDebit
PAY0000371,POL000069,2023-09-29,1264.8,0.0,Cheque
PAY0000372,POL000069,2023-10-30,1264.8,0.0,AutoDebit
PAY0000373,POL000070,2022-10-18,3222.49,64.45,Cheque
PAY0000374,POL000070,2022-11-18,3222.49,0.0,AutoDebit
PAY0000375,POL000070,2022-12-24,3222.49,64.45,UPI
PAY0000376,POL000070,2023-01-30,3222.49,0.0,AutoDebit
PAY0000377,POL000070,2023-03-10,3222.49,0.0,Cheque
PAY0000378,POL000070,2023-04-09,3222.49,0.0,NetBanking
PAY0000379,POL000070,2023-05-06,3222.49,0.0,NetBanking
PAY0000380,POL000070,2023-06-15,3222.49,0.0,Card
PAY0000381,POL000070,2023-07-21,3222.49,0.0,Cheque
PAY0000382,POL000070,2023-08-18,3222.49,0.0,NetBanking
PAY0000383,POL000070,2023-09-24,3222.49,0.0,Card
PAY0000384,POL000070,2023-10-23,3222.49,64.45,Card
PAY0000385,POL000070,2023-11-24,3222.49,0.0,NetBanking
PAY0000386,POL000070,2023-12-25,3222.49,0.0,AutoDebit
PAY0000387,POL000070,2024-01-28,3222.49,0.0,Cheque
PAY0000388,POL000070,2024-02-24,3222.49,0.0,Cheque
PAY0000389,POL000070,2024-03-30,3222.49,0.0,NetBanking
PAY0000390,POL000070,2024-05-04,3222.49,0.0,AutoDebit
PAY0000391,POL000070,2024-06-11,3222.49,0.0,Card
PAY0000392,POL000070,2024-07-16,3222.49,0.0,AutoDebit
PAY0000393,POL000070,2024-08-17,3222.49,0.0,Card
PAY0000394,POL000070,2024-09-20,3222.49,0.0,Card
PAY0000395,POL000071,2023-06-22,126448.59,0.0,Cheque
PAY0000396,POL000071,2024-06-29,126448.59,0.0,UPI
PAY0000397,POL000071,2025-07-01,126448.59,0.0,Card
PAY0000398,POL000072,2022-10-14,4125.21,0.0,NetBanking
PAY0000399,POL000072,2022-11-23,4125.21,0.0,Card
PAY0000400,POL000072,2022-12-28,4125.21,0.0,AutoDebit
PAY0000401,POL000072,2023-01-29,4125.21,0.0,UPI
PAY0000402,POL000072,2023-03-06,4125.21,0.0,UPI
PAY0000403,POL000072,2023-04-10,4125.21,82.5,Card
PAY0000404,POL000072,2023-05-18,4125.21,0.0,UPI
PAY0000405,POL000072,2023-06-24,4125.21,0.0,UPI
PAY0000406,POL000072,2023-07-28,4125.21,0.0,AutoDebit
PAY0000407,POL000072,2023-08-27,4125.21,0.0,NetBanking
PAY0000408,POL000072,2023-09-24,4125.21,0.0,Card
PAY0000409,POL000072,2023-10-29,4125.21,0.0,UPI
PAY0000410,POL000072,2023-12-03,4125.21,0.0,Cheque
PAY0000411,POL000072,2023-12-31,4125.21,0.0,NetBanking
PAY0000412,POL000072,2024-02-05,4125.21,0.0,AutoDebit
PAY0000413,POL000072,2024-03-16,4125.21,0.0,AutoDebit
PAY0000414,POL000072,2024-04-18,4125.21,82.5,UPI
PAY0000415,POL000072,2024-05-26,4125.21,0.0,Cheque
PAY0000416,POL000072,2024-06-24,4125.21,0.0,UPI
PAY0000417,POL000072,2024-07-24,4125.21,0.0,UPI
PAY0000418,POL000072,2024-08-20,4125.21,0.0,NetBanking
PAY0000419,POL000073,2025-01-23,9616.73,0.0,Card
PAY0000420,POL000073,2025-04-30,9616.73,0.0,UPI
PAY0000421,POL000073,2025-07-27,9616.73,0.0,Cheque
PAY0000422,POL000073,2025-10-27,9616.73,192.33,UPI
